name,type,location,feelings,ailments,url,image,flavor,thc,cbd
DJ Short&#8217;s Blueberry,Indica,California,"Creative, Energetic, Euphoric, Happy, Relaxed","ADD, Appetite, Back Pain, Depression, Insomnia, Migraines, Nausea, Neck Pain",https://www.marijuana.com/strains/dj-shorts-blueberry/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/02/blueberry-white-21-351x185.jpg,"Pepper, Mango",97,44
Double Diesel,Hybrid,Amsterdam,"Euphoric, Happy, Motivated, Relaxed","Back Pain, Depression, Fibromyalgia, Migraines, Multiple Sclerosis, Nausea, Neck Pain",https://www.marijuana.com/strains/double-diesel/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/06/diesel_pic-351x185.jpg,"Earthy, Skunk",25,26
Dream Queen,Sativa,California,"Giggly, Inspired, Relaxed, Solitary","ADHD, Back Pain, Diabetic Neuropathy, Epilepsy, Glaucoma, Headaches, Muscle Spasms, Nausea",https://www.marijuana.com/strains/dream-queen/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/ed7bab50-e088-45e1-b107-1df0d75de26a-351x185.jpg,"Earthy, Sweet",42,44
Durban Poison,Sativa,Unknown,"Euphoric, Lazy, Relaxed, Sleepy","Arthritis, Depression, Migraines, Nausea",https://www.marijuana.com/strains/durban-poison/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346191280615Durban_Diesel_jpg_leader-351x185.jpg,"Earthy, Sweet",47,31
Dutch Treat,Hybrid,Amsterdam,"Energetic, Euphoric, Relaxed","ADHD, Back Pain, Depression, Diabetic Neuropathy, Fibromyalgia, Nausea, Neck Pain",https://www.marijuana.com/strains/dutch-treat/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/dutchtreat-white--351x185.jpg,Pine,47,66
Elephant Stomper,Hybrid,United States,"Alert, Anxious, Energetic, Euphoric","ADD, ADHD, Anxiety, Depression",https://www.marijuana.com/strains/elephant-stomper/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/06/elephantbud1-351x185.jpg,"Sweet, Earthy",50,53
Emerald Jack,Hybrid,United States,"Attentive, Creative, Energetic, Euphoric, Happy","ADD, ADHD, Anxiety, Appetite, Depression",https://www.marijuana.com/strains/emerald-jack/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/06/candy_jack-351x185.jpg,"Earthy, Coffee, Sweet",23,47
Ewok,Hybrid,Unknown,"Euphoric, Relaxed","Appetite, Back Pain",https://www.marijuana.com/strains/ewok/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/ewok-cover-351x185.jpg,"Earthy, Coffee",67,38
Facewreck Haze,Sativa,"Colorado, United States","Aroused, Attentive, Creative, Inspired, Motivated","Appetite, Depression, Hepatitis, Migraines, Muscle Spasms, Nausea, Neck Pain, PTSD, Radiculopathy, Seizures",https://www.marijuana.com/strains/facewreck-haze/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/09/facewreck-351x185.jpg,"Earthy, Coffee, Sweet",6,59
Fire OG,Sativa,Unknown,"Attentive, Creative, Solitary","ADD, Anxiety, Neck Pain",https://www.marijuana.com/strains/fire-og/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/fireognice-351x185.jpg,Earthy,31,38
Flo,Sativa,Pacific Northwest/Amsterdam,"Lazy, Relaxed, Sleepy","ADD, ADHD, Anxiety, Appetite, Arthritis, Back Pain, Depression, Headaches, Insomnia, Migraines, Muscle Spasms, Multiple Sclerosis, Nausea, Neck Pain, Psychosis, PTSD",https://www.marijuana.com/strains/flo/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346191646448Flo_JPG_leader-351x185.jpg,"Citrus, Earthy",44,32
Ft. Collins Cough,Sativa,"Colorado, U.S. ","Anxious, Attentive, Giggly, Motivated","ADHD, Asthma, Back Pain, Crohn's Disease, Epilepsy, Fibromyalgia, Glaucoma, HIV, PTSD",https://www.marijuana.com/strains/ft-collins-cough/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/08/strawberry-cough-800x533-351x185.jpg,"Earthy, Sweet",4,65
Fucking Incredible,Indica,Unknown,"Relaxed, Sleepy","Appetite, Neck Pain, PTSD",https://www.marijuana.com/strains/fucking-incredible/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/fucking-incredible-351x185.jpg,"Pineapple, Mango, Pine",86,40
G-13,Indica,Mississippi,"Lazy, Relaxed, Sleepy","ADD, ADHD, Anxiety, Migraines",https://www.marijuana.com/strains/g-13/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/g13a-351x185.jpg,"Citrus, Orange, Lemon",57,32
Girl Scout Cookies,Hybrid,Bay Area,"Aroused, Creative, Hungry","Back Pain, Nausea",https://www.marijuana.com/strains/girl-scout-cookies/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/GSC-351x185.jpg,Sweet,36,43
God Bud,Hybrid,Unknown,"Alert, Attentive, Creative","Asthma, Crohn's Disease, IBS",https://www.marijuana.com/strains/god-bud/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/god-bud-351x185.jpg,"Pine, Sweet",71,7
Gods Gift,Indica,Unknown,"Euphoric, Lazy, Relaxed, Sleepy","Arthritis, Back Pain, Multiple Sclerosis, Neck Pain",https://www.marijuana.com/strains/gods-gift/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346192231995God_s_gift_jpg_leader-351x185.jpg,"Earthy, Sweet, Berry",50,57
Goji OG,Hybrid,United States,"Creative, Energetic, Euphoric, Giggly","Appetite, Back Pain, Depression, Headaches, Nausea, Neck Pain",https://www.marijuana.com/strains/goji-og/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/07/DSCN2364_zps38ca3102-351x185.jpg,Earthy,46,57
Golden Goat,Hybrid,Unknown,"Euphoric, Giggly, Happy, Hungry, Sociable","ADD, ADHD, Anxiety, Arthritis, Migraines, Psychosis",https://www.marijuana.com/strains/golden-goat/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346192361248open_uri20110716_19794_8v4llj_jpg_leader-351x185.jpg,"Earthy, Sweet, Pine",28,94
Grand Daddy Purple,Indica,Unknown,"Alert, Attentive, Energetic, Happy, Inspired","ADD, ADHD, Anxiety, Arthritis, Migraines",https://www.marijuana.com/strains/grand-daddy-purple/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346192589012GDP_JPG_leader-351x185.jpg,"Earthy, Citrus",8,6
Grape Ape,Indica,Unknown,"Happy, Lazy, Relaxed, Sleepy","Back Pain, Depression, Headaches, Insomnia, Migraines, Muscle Spasms, Neck Pain",https://www.marijuana.com/strains/grape-ape/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346192908046GrapeApe_JPG_leader-351x185.jpg,"Sweet, Earthy",90,48
Grape God,Hybrid,Unknown,"Anxious, Aroused, Sleepy","Depression, Headaches, HIV",https://www.marijuana.com/strains/grape-god/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/grapegod-351x185.jpg,"Sweet, Honey, Earthy",92,90
Grape Krush,Hybrid,"California, U.S. ","Creative, Happy, Relaxed, Sociable","Anxiety, Diabetic Neuropathy, Epilepsy, Glaucoma, Headaches, Muscle Spasms, PTSD, Seizures",https://www.marijuana.com/strains/grape-krush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/08/Grape-Krush-351x185.jpg,Earthy,45,18
Grape Kush,Indica,Unknown,"Lazy, Relaxed, Sleepy","ADD, ADHD, Anxiety, Back Pain, Headaches, Insomnia, Migraines, Muscle Spasms, Neck Pain",https://www.marijuana.com/strains/grape-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346271604816Image60_jpg_leader-351x185.jpg,"Earthy, Sweet",7,42
Grapefruit,Indica,Unknown,"Lazy, Sleepy","Headaches, Hepatitis, Muscle Spasms",https://www.marijuana.com/strains/grapefruit/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/grapefruit-351x185.jpg,"Citrus, Sweet",73,78
Great White Shark,Sativa,Unknown,"Anxious, Giggly, Solitary","Appetite, Muscle Spasms, Nausea",https://www.marijuana.com/strains/great-white-shark/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/great-white-shark-351x185.jpg,Earthy,91,79
Green Crack,Sativa,"California, U.S. ","Alert, Anxious, Attentive, Giggly, Hungry, Sociable","Appetite, Arthritis, Asthma, Depression, Fibromyalgia, Headaches",https://www.marijuana.com/strains/green-crack/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/Screen-Shot-2016-05-11-at-7.52.23-AM-351x185.png,"Sweet, Berry, Blueberry",19,30
Green Queen,Indica,Unknown,"Creative, Euphoric, Motivated","ADHD, Anxiety, Muscle Spasms",https://www.marijuana.com/strains/green-queen/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/green-queen-351x185.jpg,"Coffee, Berry, Earthy",81,65
Hash Plant,Indica,Unknown,"Euphoric, Lazy, Relaxed, Sleepy","ADD, ADHD, Anxiety, Arthritis, Migraines",https://www.marijuana.com/strains/hash-plant/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346200194772Hash_Plant_Focus_Rendering_3editcrop_jpg_leader-351x185.jpg,"Citrus, Earthy",21,51
Haze Heaven,Hybrid,Amsterdam,"Happy, Inspired, Motivated","Arthritis, Depression, Headaches, Nausea",https://www.marijuana.com/strains/haze-heaven/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/06/sour-apple-haze-351x185.jpg,"Earthy, Berry, Sweet",40,77
Headband,Hybrid,Unknown,"Alert, Anxious, Creative, Energetic, Giggly, Happy","ADD, ADHD, Anxiety, Back Pain, Migraines",https://www.marijuana.com/strains/headband/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/1346118517259Headband_jpeg_leader-351x185.jpeg,"Earthy, Ammonia",40,73
Heavy Duty Fruity,Hybrid,Unknown,"Lazy, Relaxed, Sleepy","ADD, ADHD, Anxiety, Migraines",https://www.marijuana.com/strains/heavy-duty-fruity/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346200591718open_uri20110716_19794_1p9i85p_jpg_leader-351x185.jpg,"Grape, Earthy, Sweet",74,88
Hindu Kush,Indica,Unknown,"Alert, Attentive, Relaxed","Anxiety, Back Pain, Headaches, Migraines, Nausea, Neck Pain",https://www.marijuana.com/strains/hindu-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346200685368hindu_kush_01_JPG_leader-351x185.jpg,"Earthy, Sweet, Pine",81,34
Hindu Skunk,Indica,Unknown Hindu Region,"Lazy, Relaxed, Solitary","Back Pain, IBS, Psychosis",https://www.marijuana.com/strains/hindu-skunk/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/hindu-skunk-351x185.jpg,"Mango, Citrus, Sweet",42,16
Holy Grail Kush,Indica,Spain,"Creative, Happy, Lazy, Relaxed","Anxiety, Appetite, Arthritis, Asthma, Back Pain, Fibromyalgia, Insomnia, Migraines, Muscle Spasms, Multiple Sclerosis",https://www.marijuana.com/strains/holy-grail-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/08/Screen-Shot-2015-11-11-at-9.14.46-AM-351x185.png,"Lavender, Ammonia, Sweet",75,41
Ice,Indica,Amsterdam,"Happy, Hungry, Lazy, Relaxed, Sleepy","Anxiety, Appetite, Back Pain, Epilepsy, Headaches, Insomnia, Migraines, Muscle Spasms, Multiple Sclerosis, Nausea, Neck Pain, Seizures",https://www.marijuana.com/strains/ice-2/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/08/Los-Angeles-San-Francisco-Cannabis-Plant-Photographer18-351x185.jpg,"Pepper, Sweet",21,51
Island Sweet Skunk,Sativa,Unknown,"Aroused, Happy","Back Pain, Insomnia, Radiculopathy",https://www.marijuana.com/strains/island-sweet-skunk/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/island-sweet-skunk-351x185.jpg,Earthy,1,75
Jack Flash,Hybrid,Unknown,"Alert, Attentive, Creative, Euphoric","ADD, ADHD, Anxiety, Psychosis",https://www.marijuana.com/strains/jack-flash/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346201205994open_uri20110909_13379_1ohu0vi_jpg_leader-351x185.jpg,"Sweet, Pine",75,41
Jack Frost,Hybrid,Unknown,"Energetic, Euphoric, Inspired","ADD, ADHD, Anxiety, Migraines",https://www.marijuana.com/strains/jack-frost/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346201326763JackFrost_jpg_leader-351x185.jpg,"Blueberry, Sweet, Berry",88,7
Jack Herer,Sativa,Amsterdam,"Alert, Attentive, Creative, Energetic","Appetite, Asthma, Depression, Headaches, Migraines, Nausea",https://www.marijuana.com/strains/jack-herer/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/jack20-351x185.jpg,Ammonia,11,32
Jack the Ripper,Hybrid,Unknown,"Creative, Energetic","ADHD, IBS, Neck Pain",https://www.marijuana.com/strains/jack-the-ripper/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/jack-the-ripper-351x185.jpg,"Earthy, Sweet",92,71
Jedi Kush,Indica,"California, U.S.","Euphoric, Giggly, Relaxed, Sleepy","Back Pain, Epilepsy, Fibromyalgia, Glaucoma, Headaches, Insomnia, Migraines, Muscle Spasms, Multiple Sclerosis, Neck Pain, Seizures",https://www.marijuana.com/strains/jedi-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/07/Screen-Shot-2016-01-14-at-5.10.32-AM-351x185.png,"Lime, Citrus",46,99
Jilly Bean,Indica,Unknown,"Euphoric, Relaxed, Sleepy","ADHD, Anxiety, PTSD",https://www.marijuana.com/strains/jilly-bean/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346201932961Jillybean_2__JPG-351x185.jpg,"Mint, Lemon",30,5
Juicy Fruit,Hybrid,"California, U.S.","Creative, Euphoric, Giggly, Inspired, Motivated, Relaxed","ADHD, Anxiety, Appetite, Arthritis, Asthma, Back Pain, Depression, Epilepsy, Fibromyalgia, Headaches, Insomnia, Migraines, Muscle Spasms, Multiple Sclerosis, Nausea, Neck Pain",https://www.marijuana.com/strains/juicy-fruit-2/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/07/Juicy_Fruit_Marijuana_Strain_Review-351x185.jpg,"Earthy, Grape",74,21
Kali Mist,Sativa,Unknown,"Alert, Attentive, Sociable","Arthritis, Back Pain, Headaches, Migraines, Muscle Spasms, Neck Pain",https://www.marijuana.com/strains/kali-mist/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346202184502Kali_Mist_JPG_leader-351x185.jpg,"Berry, Citrus",84,53
Kandy Kush,Indica,California,"Alert, Anxious, Creative, Happy, Hungry, Sociable","ADD, Back Pain, Depression, Epilepsy, Fibromyalgia, IBS, Insomnia, Muscle Spasms, Neck Pain, PTSD",https://www.marijuana.com/strains/kandy-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/kandykush-white--351x185.jpg,"Sweet, Earthy",96,66
Killer Purple,Indica,Canada,"Euphoric, Lazy, Relaxed, Sleepy, Solitary","Headaches, Muscle Spasms",https://www.marijuana.com/strains/killer-purple/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/06/image-3-351x185.jpeg,"Earthy, Sweet, Pine",68,21
Kosher Kush,Hybrid,Unknown,"Aroused, Creative, Hungry","Headaches, Nausea",https://www.marijuana.com/strains/kosher-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/KosherKush_002-351x185.jpg,"Citrus, Lime, Lemon",79,31
LA Confidential,Indica,Unknown,"Lazy, Relaxed, Sleepy","Anxiety, Arthritis, Back Pain, Headaches, Insomnia, Migraines",https://www.marijuana.com/strains/la-confidential/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/1346202294150open_uri20111004_9441_1jfpxol_jpg_leader-351x185.jpg,"Citrus, Sweet",39,62
Larry OG,Hybrid,United States,"Anxious, Giggly, Relaxed, Sleepy","Back Pain, Fibromyalgia, Headaches, Migraines, Multiple Sclerosis, Neck Pain",https://www.marijuana.com/strains/larry-og/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/06/LarryOG-351x185.jpg,"Citrus, Earthy",99,31
Lavender,Indica,Unknown,"Euphoric, Happy, Lazy, Relaxed","Anxiety, Arthritis, Headaches, Insomnia, Migraines, Muscle Spasms, Neck Pain",https://www.marijuana.com/strains/lavender/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346202374511open_uri20110723_4690_wj1qew_jpg_leader-351x185.jpg,"Earthy, Citrus",31,28
Lavender Kush,Indica,Unknown,"Lazy, Relaxed, Sleepy",Anxiety,https://www.marijuana.com/strains/lavender-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/lavender-kush-351x185.jpg,"Sweet, Ammonia",50,6
Lemon Drop,Sativa,United ,"Attentive, Energetic, Euphoric, Motivated","Anxiety, Depression, Glaucoma",https://www.marijuana.com/strains/lemon-drop/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/06/lemon_og-351x185.jpg,"Sweet, Lime, Earthy",49,9
Lemon Kush,Hybrid,Unknown,"Euphoric, Relaxed","Appetite, Arthritis, Back Pain, Migraines, Multiple Sclerosis, Neck Pain",https://www.marijuana.com/strains/lemon-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/1346272597483Lemon_jpg_leader-351x185.jpg,"Lemon, Citrus, Lime",64,28
Lemon Stomper,Sativa,California,"Alert, Anxious, Aroused, Attentive, Creative, Euphoric, Giggly","ADHD, Anxiety, Arthritis, Asthma, Back Pain, Fibromyalgia, Glaucoma, Muscle Spasms, Multiple Sclerosis, Neck Pain",https://www.marijuana.com/strains/lemon-stomper/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/08/SD-351x185.jpg,"Citrus, Pine",97,80
Lemon Thai Kush,Hybrid,United States,"Alert, Anxious, Energetic, Happy, Motivated, Relaxed","Anxiety, Arthritis, Back Pain, Fibromyalgia, Glaucoma, Headaches, Migraines, Nausea, Neck Pain",https://www.marijuana.com/strains/lemon-thai-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/06/lemonkush_4368-351x185.jpg,"Pine, Earthy, Citrus",27,80
LSD,Hybrid,Unknown,"Energetic, Euphoric, Happy, Hungry, Inspired","ADD, Anxiety, Back Pain, Depression, Headaches, Nausea, Neck Pain",https://www.marijuana.com/strains/lsd/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346202236950open_uri20110806_4713_15embrz_jpg_leader-351x185.jpg,Citrus,53,85
M39,Hybrid,Canada,"Anxious, Attentive, Creative, Energetic, Relaxed","Back Pain, Headaches, Nausea",https://www.marijuana.com/strains/m39/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/06/9soIZ-351x185.jpg,"Berry, Sweet",81,35
Mango,Indica,Unknown,"Euphoric, Giggly, Happy, Inspired, Relaxed","ADD, ADHD, Anxiety, Appetite, Epilepsy, Insomnia, Migraines, Nausea, PTSD",https://www.marijuana.com/strains/mango/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346202041924Mango_JPG_leader-351x185.jpg,Citrus,79,35
Mango Haze,Hybrid,Amsterdam,"Attentive, Euphoric, Inspired, Relaxed","ADD, ADHD, Anxiety, PTSD",https://www.marijuana.com/strains/mango-haze/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/06/Mango_Kush-351x185.jpg,"Earthy, Sweet, Citrus",30,49
Mango Kush,Hybrid,Unknown,"Anxious, Attentive, Inspired","ADHD, Glaucoma, Migraines",https://www.marijuana.com/strains/mango-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/mango-kush-351x185.jpg,"Berry, Blueberry",48,58
Mango OG,Indica,"Colorado, U.S.","Creative, Giggly, Inspired, Relaxed","Anxiety, Appetite, Back Pain, Depression, Glaucoma, Headaches, Insomnia, Nausea, Neck Pain",https://www.marijuana.com/strains/mango-og/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/07/magnified1-1297389442-351x185.jpg,"Earthy, Skunk",77,32
Master Kush,Indica,Unknown,Relaxed,"ADD, ADHD, Anxiety, Appetite, Arthritis, Nausea, PTSD",https://www.marijuana.com/strains/master-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346201799331open_uri20110716_19794_vibf40_jpg_leader-351x185.jpg,"Earthy, Sweet",94,81
Maui Wowie,Sativa,Unknown,"Creative, Motivated, Sociable","ADHD, Back Pain, Psychosis",https://www.marijuana.com/strains/maui-wowie/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/maui-wowie-351x185.jpg,"Lime, Earthy, Citrus",54,38
Mean Green,Hybrid,Unknown,"Aroused, Euphoric, Hungry","Diabetic Neuropathy, Headaches, Insomnia",https://www.marijuana.com/strains/mean-green/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/mean-green-351x185.jpg,"Berry, Grape, Sweet",34,44
Medicine Man,Hybrid,Unknown,"Euphoric, Happy, Relaxed","Multiple Sclerosis, Psychosis, PTSD",https://www.marijuana.com/strains/medicine-man/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/medicine-man-351x185.jpg,"Pine, Earthy",31,30
Mendo Purps,Hybrid,California,"Alert, Aroused, Euphoric, Giggly, Sociable","Anxiety, Epilepsy, Fibromyalgia, Glaucoma, Hepatitis, Neck Pain, Psychosis, PTSD",https://www.marijuana.com/strains/mendo-purps/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/08/Screen-Shot-2015-10-14-at-8.50.11-AM-351x185.png,"Earthy, Sweet",61,27
MK Ultra,Indica,Unknown,"Lazy, Relaxed, Sleepy","Arthritis, Back Pain, Headaches, Insomnia, Migraines, Muscle Spasms, Neck Pain",https://www.marijuana.com/strains/mk-ultra/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346201130324MK_Ultra_jpg_leader-351x185.jpg,"Earthy, Citrus",73,77
Mr. Nice,Indica,Unknown,"Attentive, Happy, Relaxed, Sociable","Arthritis, Back Pain, Headaches, Migraines, Muscle Spasms, Neck Pain",https://www.marijuana.com/strains/mr-nice/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346200725026open_uri20110720_30543_93gne7_jpg_leader-351x185.jpg,"Pepper, Sweet, Honey",14,63
Nebula,Hybrid,Unknown,"Attentive, Euphoric","ADD, ADHD, Anxiety, Arthritis",https://www.marijuana.com/strains/nebula/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346273583684open_uri20110831_13343_vkmv64_jpg_leader-351x185.jpg,"Sweet, Berry",96,39
New Freezeland Orange,Hybrid,Washington State,"Happy, Hungry, Relaxed, Sociable","Insomnia, Nausea",https://www.marijuana.com/strains/new-freezeland-orange/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/06/8217877_11-best-marijuana-strains-of-april_tc9413190-1-351x185.jpg,"Citrus, Sweet",65,40
Northern Lights,Indica,Unknown,"Lazy, Relaxed","Back Pain, Migraines, Neck Pain",https://www.marijuana.com/strains/northern-lights/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346200388800NORTHERN_LIGHTS_STRAIN_REVIEW_LINK_THCFINDER_jpg_leader-351x185.jpg,"Sweet, Blueberry",6,12
NYC Diesel,Hybrid,Unknown,"Alert, Creative, Energetic, Happy, Lazy, Relaxed","Anxiety, Nausea",https://www.marijuana.com/strains/nyc-diesel/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/1346190251908ny_sour_diesell_jpg_leader-351x185.jpg,"Skunk, Earthy",51,1
OG Bubba Kush,Indica,Unknown,"Lazy, Relaxed, Sleepy","Anxiety, Insomnia",https://www.marijuana.com/strains/og-bubba-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346273690234IMG_0849_JPG_leader-351x185.jpg,Ammonia,3,50
OG Kush,Hybrid,Unknown,"Creative, Happy, Hungry, Inspired, Relaxed","ADD, ADHD, Appetite, Back Pain, Depression, Epilepsy, Headaches, Migraines, Neck Pain",https://www.marijuana.com/strains/og-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/ogkush_4436-351x185.jpg,"Citrus, Sweet",28,2
OGKushBreath Girl Scout Cookies,Hybrid,California,"Euphoric, Lazy, Relaxed","Fibromyalgia, Insomnia",https://www.marijuana.com/strains/ogkushbreath-girl-scout-cookies/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/06/OGKB-Cookie-Company-600x337-351x185.jpg,"Citrus, Orange, Sweet",99,96
